Year for temperature difference,Annual temp difference (°C),Annual temp difference smooth (°C),Year.Month for CO2,CO2 (ppm),Year for Arctic sea ice extent,Arctic sea ice extent (million square km),Person ID number,Gender,Daily fruit/veggies,Daily stress (0-5),Number of close friends,Number of social interactions per day,Sleeping hours
2003.0,0.62,0.59,1968.06.01,323.2,,,10124.0,Female,5.0,2.0,4.0,10.0,7.0
2004.0,0.54,0.61,1968.07.01,323.25,,,10125.0,Male,5.0,4.0,3.0,10.0,7.0
2005.0,0.68,0.62,1968.08.01,323.15,,,10126.0,Female,3.0,5.0,7.0,5.0,7.0
2006.0,0.64,0.63,1968.09.01,323.31,,,10127.0,Female,2.0,3.0,7.0,5.0,4.0
2007.0,0.66,0.63,1968.10.01,323.32,,,10128.0,Male,3.0,4.0,5.0,5.0,5.0
2008.0,0.54,0.64,1968.11.01,323.32,,,10129.0,Male,5.0,4.0,7.0,4.0,9.0
2009.0,0.66,0.64,1968.12.01,323.69,,,10130.0,Male,1.0,3.0,5.0,2.0,8.0
2010.0,0.72,0.65,1969.01.01,323.98,,,10131.0,Female,2.0,0.0,10.0,5.0,10.0
2011.0,0.61,0.66,1969.02.01,323.89,,,10132.0,Female,1.0,2.0,1.0,7.0,8.0
2012.0,0.64,0.7,1969.03.01,324.41,,,10133.0,Female,2.0,3.0,3.0,8.0,8.0
2013.0,0.68,0.74,1969.04.01,324.35,,,10134.0,Male,5.0,4.0,3.0,10.0,6.0
2014.0,0.75,0.78,1969.05.01,324.57,,,10135.0,Male,2.0,3.0,5.0,5.0,6.0
2015.0,0.9,0.83,1969.06.01,324.63,,,10136.0,Female,3.0,2.0,5.0,10.0,9.0
2016.0,1.02,0.87,1969.07.01,325.08,,,10137.0,Female,5.0,3.0,10.0,10.0,7.0
2017.0,0.92,0.91,1969.08.01,324.8,,,10138.0,Female,1.0,1.0,6.0,4.0,6.0
2018.0,0.85,0.95,1969.09.01,325.28,,,10139.0,Female,0.0,4.0,1.0,3.0,5.0
2019.0,0.98,0.98,1969.10.01,324.84,,,10140.0,Female,3.0,4.0,6.0,10.0,7.0
,,,1969.11.01,324.78,,,10141.0,Female,3.0,4.0,4.0,3.0,5.0
,,,1969.12.01,324.88,,,10142.0,Male,5.0,1.0,6.0,7.0,10.0
,,,1970.01.01,325.04,,,10143.0,Male,5.0,2.0,10.0,10.0,9.0
,,,1970.02.01,325.42,,,10144.0,Male,5.0,1.0,4.0,10.0,10.0
,,,1970.03.01,325.69,,,10145.0,Male,5.0,0.0,4.0,8.0,10.0
,,,1970.04.01,325.86,,,10146.0,Female,5.0,2.0,4.0,1.0,6.0
,,,1970.05.01,325.27,,,10147.0,Female,2.0,3.0,4.0,8.0,6.0
,,,1970.06.01,325.52,,,10148.0,Female,5.0,3.0,10.0,5.0,7.0
,,,1970.07.01,325.51,,,10149.0,Male,1.0,2.0,3.0,2.0,8.0
